baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	significant
26.448680532018	-24.4167505223731	3.31901558450628	-7.35662424616343	1.88619320315207e-13	4.58382672230017e-09	ENSG00000236878	yes
5.69415993995172	-22.2956834635929	3.32029497646046	-6.71497069436908	1.88104020719792e-11	1.53999303114544e-07	ENSG00000274721	yes
5.46448536014345	-22.2431233953171	3.32033381454971	-6.69906239482538	2.09761022749358e-11	1.53999303114544e-07	ENSG00000279336	yes
5.15474346466187	-22.151490825263	3.3203953707402	-6.67134131690012	2.53475933033568e-11	1.53999303114544e-07	ENSG00000267563	yes
5.8806780607183	-22.0107525513931	3.32026488456244	-6.62921583567988	3.37474826875e-11	1.64026264854325e-07	ENSG00000266987	yes
4.88229262873011	-21.7392710824099	3.32045598082753	-6.54707401872921	5.86752866339484e-11	2.37654469296369e-07	ENSG00000230585	yes
32.8000797221828	-6.04670022447288	0.978457749765216	-6.17982761741506	6.41716326577485e-10	2.22785573835515e-06	ENSG00000259370	yes
99.3886554098357	-5.58226261378983	0.987901768043814	-5.65062518801187	1.59865330119328e-08	4.85630906569988e-05	ENSG00000204539	yes
41.1404383589529	-5.23030270239907	0.934946300590055	-5.59422792421144	2.21605680230203e-08	5.98384582328265e-05	ENSG00000245156	yes
114.798608144934	-10.8261997024617	1.94432507109378	-5.56810168392851	2.57529532920267e-08	6.25848270902832e-05	ENSG00000159516	yes
411.512762003825	-5.21770665373995	0.943747698634825	-5.52870927398033	3.22595437399904e-08	7.12701301790225e-05	ENSG00000210196	yes
119.931283867069	-5.21665877217962	0.961934043344701	-5.42309403463983	5.85761571906226e-08	0.000109501367080501	ENSG00000245970	yes
6517.69591828349	-3.83353478409757	0.705258830352837	-5.43564237569301	5.45993672203291e-08	0.000109501367080501	ENSG00000211459	yes
67.8383810353829	-5.40143800008598	1.00995377966218	-5.34820316420094	8.88317183705646e-08	0.000154199172845819	ENSG00000269243	yes
54.3879048930141	-7.30053745957591	1.38789244923235	-5.26016080252752	1.43929478268477e-07	0.000233184945392035	ENSG00000258757	yes
19790.0153622039	-3.7662451479654	0.721613261137566	-5.21920168433187	1.79695998145414e-07	0.000272935759183115	ENSG00000210082	yes
30.4689045594838	3.21643685798247	0.624082923120788	5.15386135210744	2.55176640655392e-07	0.000364782513012196	ENSG00000075035	yes
53.7035998649964	-5.15336499537436	1.00203526667399	-5.14289782681968	2.70532768818696e-07	0.000365249297101775	ENSG00000142619	yes
73.0905727086984	-6.7281945950197	1.35012543450849	-4.98338481969945	6.24815128388888e-07	0.000799171434216145	ENSG00000283787	yes
251.318229274184	-5.4080543002332	1.09954995607133	-4.91842527969903	8.72432069326127e-07	0.00106009220743818	ENSG00000189001	yes
22.6377122144163	2.02697118397647	0.414166151635145	4.89410150002339	9.8755863708956e-07	0.00114284047612145	ENSG00000271009	yes
67.5078393508247	-3.64908333058147	0.755449654806377	-4.83034614863479	1.36295894898762e-06	0.00150557401719533	ENSG00000084674	yes
35.4094325003604	-8.51138527425404	1.77411188004179	-4.79754708257382	1.60620461868502e-06	0.00157606327144302	ENSG00000232928	yes
18.2034089124067	-5.05623215803586	1.05433308928541	-4.79566866431441	1.6213308281654e-06	0.00157606327144302	ENSG00000165799	yes
144.599289709799	-3.87990309245245	0.806563365012211	-4.81041324309803	1.50618569256663e-06	0.00157606327144302	ENSG00000188505	yes
53.0193128682183	2.79815212009901	0.587798691376773	4.76039188441374	1.93217417895888e-06	0.00180598834219457	ENSG00000153253	yes
287.114890827303	-5.35874479404457	1.12856675007293	-4.74827456479494	2.05159397308815e-06	0.00184658654570327	ENSG00000140519	yes
7.90834705396828	4.7396301660241	1.00014540242152	4.73894111251091	2.14837921780453e-06	0.00186463970539592	ENSG00000196361	yes
46.41136942882	-4.36079298880332	0.928464876613312	-4.69677755039032	2.64298017622998e-06	0.00221481738768072	ENSG00000260894	yes
69.990341568642	-4.63107623344773	0.988747238706126	-4.68378171099415	2.81629933163016e-06	0.00228139021190921	ENSG00000160973	yes
7.55506450596569	-5.20476287630782	1.11660999629105	-4.66121823519047	3.14343191839986e-06	0.00246424782196624	ENSG00000262118	yes
10.3317937577574	4.45603990750875	0.961406382909667	4.63491816439026	3.57078714705338e-06	0.002629614219627	ENSG00000149654	yes
25.3808559625262	-3.751879038633	0.80843241974816	-4.64093095103951	3.46843018721435e-06	0.002629614219627	ENSG00000269292	yes
